ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
1041,Poland,200000,EUR European Euro,14,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Go;JavaScript;PHP;TypeScript,Engineering manager,5,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1042,France,,,,C#;Dart;HTML/CSS;JavaScript;Python;SQL,C#;Dart;HTML/CSS;Java;JavaScript;Python;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Not employed, but looking for work;Student, part-time;Employed, part-time",Yes
1043,Germany,60000,EUR European Euro,26,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;C++;Python;SQL,"Developer, embedded applications or devices",5,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",45-54 years old,"Employed, full-time","No, and I don't plan to"
1044,Pakistan,,,5,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",6,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
1045,Argentina,,,,Assembly;C,Assembly;C,Security professional,,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
1046,United States of America,,,Less than 1 year,C;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,Assembly;Go;Rust,"Developer, full-stack",,,Something else,,Under 18 years old,I prefer not to say,Yes
1047,United States of America,,,,Java;Python,,Other (please specify):,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,65 years or older,Retired,"No, and I don't plan to"
1048,Canada,200000,CAD	Canadian dollar,12,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Python;SQL;TypeScript,C;C#;F#;Python;Rust;SQL;TypeScript,DevOps specialist,,"Hybrid (some remote, some in-person)",Something else,"10,000 or more employees",25-34 years old,"Employed, full-time",Yes
1049,France,,,,HTML/CSS;Java;JavaScript;Kotlin;PHP;Solidity;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Rust;Solidity;SQL;TypeScript,Blockchain,7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1050,United States of America,,USD	United States dollar,29,HTML/CSS;JavaScript;PHP,,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,55-64 years old,"Employed, full-time","No, and I don't plan to"
1051,United States of America,250000,USD	United States dollar,12,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,Cloud infrastructure engineer,,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,500 to 999 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1052,United States of America,,USD	United States dollar,20,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python,C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;Rust,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,35-44 years old,"Employed, full-time",Yes
1053,Czech Republic,,CZK	Czech koruna,14,HTML/CSS;Java;SQL;TypeScript,HTML/CSS;Java;SQL;TypeScript,"Developer, back-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
1054,United States of America,,,,Go;HTML/CSS;JavaScript;Ruby;SQL,Go;HTML/CSS;JavaScript;Ruby,Marketing or sales professional,,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
1055,India,,INR	Indian rupee,7,Go;JavaScript;Python;SQL;TypeScript,C;C++;Go;Haskell;Rust,Cloud infrastructure engineer,7,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1056,Thailand,15000,USD	United States dollar,10,Bash/Shell (all shells);Erlang;Haskell;HTML/CSS;JavaScript;Lua;OCaml;PHP;SQL;TypeScript,Bash/Shell (all shells);Erlang;GDScript;HTML/CSS;JavaScript;OCaml;Prolog;SQL,"Developer, front-end",4,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
1057,Canada,133351,CAD	Canadian dollar,21,Bash/Shell (all shells);C#;HTML/CSS;Python;Rust;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;SQL,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1058,Netherlands,,EUR European Euro,16,Python;SQL,Go;Python;Rust;SQL,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,35-44 years old,"Employed, full-time",Yes
1059,Benin,,XOF	West African CFA franc,2,C#;HTML/CSS;Java;Kotlin;PHP;TypeScript,C#;F#;Kotlin;Scala,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed",Yes
1060,Turkey,,TRY	Turkish lira,3,C;Java;Kotlin,Kotlin,"Developer, full-stack",10,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,25-34 years old,"Employed, full-time",Yes
1061,Germany,66000,EUR European Euro,7,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,C++;Clojure;Go;Kotlin;Lua,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
1062,United States of America,140000,USD	United States dollar,13,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Haskell;Rust,"Developer, full-stack",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,25-34 years old,"Employed, full-time",Yes
1063,Italy,35000,EUR European Euro,6,C#;F#;Lua;SQL,C#;F#;Lua;Rust;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1064,Switzerland,,CHF	Swiss franc,6,JavaScript;Python;R,JavaScript;Python;R,Data scientist or machine learning specialist,,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Just me - I am a freelancer, sole proprietor, etc.",45-54 years old,"Independent contractor, freelancer, or self-employed",Yes
1065,United Kingdom of Great Britain and Northern Ireland,92000,GBP	Pound sterling,17,C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,C++;Dart;Go;JavaScript;Python;TypeScript,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time","No, and I don't plan to"
1066,France,,EUR European Euro,,Assembly;Bash/Shell (all shells);C;Lisp;OCaml;Python;Rust,Bash/Shell (all shells);Lisp;OCaml;Rust,Student,10,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,18-24 years old,"Employed, full-time;Student, full-time","No, and I don't plan to"
1067,United States of America,175000,USD	United States dollar,22,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,"Developer, back-end",10,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,45-54 years old,"Employed, full-time",Yes
1068,United States of America,123000,USD	United States dollar,3,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Python;TypeScript,Assembly;C;C++;Go;Haskell;HTML/CSS;Ruby;Rust;TypeScript,"Developer, embedded applications or devices",7,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",25-34 years old,"Employed, full-time","No, and I don't plan to"
1069,United States of America,,,,SQL;VBA,VBA,Other (please specify):,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,55-64 years old,Retired,"No, and I don't plan to"
1070,United Kingdom of Great Britain and Northern Ireland,77000,GBP	Pound sterling,36,Java;JavaScript;SQL,Java;SQL,"Developer, back-end",8,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,45-54 years old,"Employed, full-time","No, but I plan to soon"
1071,Germany,82000,EUR European Euro,25,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);Kotlin;Rust;SQL;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1072,Russian Federation,2000000,RUB	Russian ruble,22,Ada;Assembly;C;C#;C++;Dart;Delphi;Go;Java;Prolog;Python;Rust;SQL;Visual Basic (.Net),Ada;C;C#;C++;Cobol;Dart;Fortran;Go;Java;Julia;Python;R;Rust;SQL;Visual Basic (.Net),"Developer, full-stack",0,In-person,Some college/university study without earning a degree,20 to 99 employees,45-54 years old,"Employed, full-time",Yes
1073,Germany,,EUR European Euro,22,JavaScript;PHP;TypeScript,JavaScript;PHP;TypeScript,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",55-64 years old,"Independent contractor, freelancer, or self-employed",Yes
1074,Canada,,,7,Bash/Shell (all shells);Python,Bash/Shell (all shells);Python,Data scientist or machine learning specialist,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Not employed, but looking for work",Yes
1075,United States of America,250000,USD	United States dollar,21,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Engineer, site reliability",9,Remote,Some college/university study without earning a degree,100 to 499 employees,35-44 years old,"Employed, full-time",Yes
1076,Mexico,584000,MXN	Mexican peso,9,C#;Python,Go;TypeScript,"Developer, desktop or enterprise applications",4,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
1077,United States of America,,USD	United States dollar,10,HTML/CSS;Lua;MATLAB;Python;R;SQL,HTML/CSS;Julia;Lua;MATLAB;Python;R;SQL,Educator,3,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,35-44 years old,"Employed, full-time","No, but I plan to soon"
1078,China,,,,C++;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,C++;HTML/CSS;JavaScript;Rust;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Under 18 years old,"Student, full-time",Yes
1079,Italy,,EUR European Euro,1,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Lua;MicroPython;Python,"Developer, full-stack",,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time",Yes
1080,Czech Republic,1500000,CZK	Czech koruna,8,C++;HTML/CSS;JavaScript;TypeScript,C++;HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",0,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1081,Israel,,,21,Python;SQL,Java;Kotlin;Python;Rust;TypeScript,"Developer, back-end",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, but looking for work",Yes
1082,United States of America,500000,USD	United States dollar,40,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,,"Senior Executive (C-Suite, VP, etc.)",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,55-64 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1083,Slovakia,60000,EUR European Euro,6,Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,DevOps specialist,6,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",25-34 years old,"Employed, full-time",Yes
1084,Switzerland,125000,CHF	Swiss franc,8,Bash/Shell (all shells);C;C++;Go;Java;JavaScript;PowerShell;Rust;TypeScript,Bash/Shell (all shells);Go;Java;Rust;TypeScript,"Developer, back-end",8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,25-34 years old,"Employed, full-time",Yes
1085,Italy,42000,EUR European Euro,4,C;C#;C++;Go;HTML/CSS;JavaScript;Kotlin;Lua;Perl;PHP;PowerShell;Python;SQL,C;C++;HTML/CSS;JavaScript;Lua;PHP;Python;SQL,Cloud infrastructure engineer,,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",25-34 years old,"Employed, full-time",Yes
1086,United States of America,,,2,Python;SQL,Python;SQL,Data scientist or machine learning specialist,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Not employed, but looking for work",Yes
1087,Israel,,ILS	Israeli new shekel,25,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python,Bash/Shell (all shells);Go;HTML/CSS;Python;Rust,Other (please specify):,9,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,Prefer not to say,"Independent contractor, freelancer, or self-employed;Employed, part-time",Yes
1088,Australia,,,4,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,F#;Go;Kotlin;Rust,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
1089,Netherlands,50000,EUR European Euro,6,C#;HTML/CSS;Java;JavaScript;SQL,,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1090,United States of America,150000,USD	United States dollar,18,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Project manager,,Remote,Some college/university study without earning a degree,20 to 99 employees,45-54 years old,"Independent contractor, freelancer, or self-employed",Yes
1091,Israel,,ILS	Israeli new shekel,39,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin,HTML/CSS;JavaScript,"Developer, front-end",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",55-64 years old,"Employed, part-time",Yes
1092,El Salvador,50400,USD	United States dollar,10,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Scala;SQL;VBA;Visual Basic (.Net),HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;Swift;VBA;Visual Basic (.Net),,,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time","No, and I don't plan to"
1093,Hungary,18000000,HUF	Hungarian forint,6,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Elixir;Erlang;GDScript;HTML/CSS;JavaScript;Lua;OCaml;Rust;SQL;TypeScript,"Developer, full-stack",6,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time;Student, part-time",Yes
1094,Germany,65000,EUR European Euro,22,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PHP;SQL,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,35-44 years old,"Employed, full-time","No, but I plan to soon"
1095,United States of America,207000,USD	United States dollar,10,Dart;Java;Python;SQL,Dart;Java;Python;SQL,"Developer, back-end",1,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,25-34 years old,"Employed, full-time",Yes
1096,Ukraine,106000,UAH	Ukrainian hryvnia,4,SQL;TypeScript,Go;Rust;SQL;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, but I plan to soon"
1097,Germany,114000,EUR European Euro,14,JavaScript;Python;SQL,Python;SQL,Other (please specify):,,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
1098,Ukraine,,,19,C#;HTML/CSS;Python;TypeScript,C#;Clojure;F#;Python;Rust,"Developer, full-stack",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Not employed, and not looking for work",Yes
1099,Portugal,85000,EUR European Euro,10,Kotlin;Ruby;Swift,Go;Kotlin;Swift,"Developer, back-end",8,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1100,Canada,110000,CAD	Canadian dollar,16,Assembly;C#;C++;Java;PowerShell;SQL,Assembly;C#;C++;SQL,"Developer, desktop or enterprise applications",7,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time;Employed, part-time","No, and I don't plan to"
1101,Italy,25000,EUR European Euro,7,C;C++;Delphi;Fortran;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;VBA,C;C++;Go;Kotlin;Lisp;Lua;MATLAB;Python;Rust;SQL;TypeScript,Academic researcher,,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",100 to 499 employees,35-44 years old,"Employed, full-time",Yes
1102,"Iran, Islamic Republic of...",,IRR	Iranian rial,6,Bash/Shell (all shells);C;C++;Java;PowerShell;Python;SQL,Go;Lua;MATLAB;Rust,"Developer, desktop or enterprise applications",8,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time",Yes
1103,United States of America,,USD	United States dollar,34,Ada;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;SQL,Developer Experience,10,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,55-64 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
1104,Sweden,,,,C#;HTML/CSS;JavaScript;Lua;Python,C;C#;C++;Go;Lua;Python,"Developer, back-end",,,Primary/elementary school,,Under 18 years old,I prefer not to say,"No, and I don't plan to"
1105,United States of America,,,7,Bash/Shell (all shells);C;Go;HTML/CSS;Java;Python,Assembly;Bash/Shell (all shells);C;Clojure;Go;Haskell;Lua;Prolog;Rust;Scala,Security professional,,,Some college/university study without earning a degree,,25-34 years old,"Student, full-time;Not employed, but looking for work;Not employed, and not looking for work","No, and I don't plan to"
1106,United States of America,130000,USD	United States dollar,2,Bash/Shell (all shells);C++;Fortran;Python,Bash/Shell (all shells);C++;Python,Research & Development role,,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1107,Czech Republic,,,,Dart;Python,C#;Dart;Java;Python;Rust,Student,,,Primary/elementary school,,18-24 years old,"Student, part-time",Yes
1108,Poland,,,,HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;VBA,HTML/CSS;JavaScript;MATLAB,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time;Not employed, and not looking for work","No, and I don't plan to"
1109,Netherlands,65000,EUR European Euro,3,Bash/Shell (all shells);JavaScript;Kotlin;Python,Bash/Shell (all shells);Python;Rust,"Developer, back-end",9,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,18-24 years old,"Student, full-time;Employed, part-time","No, but I plan to soon"
1110,France,,,,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lisp;PHP;SQL,Bash/Shell (all shells);C;Lisp;PHP,,,,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,55-64 years old,Retired,"No, and I don't plan to"
1111,Turkey,2325000,TRY	Turkish lira,10,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Python;Rust;SQL,"Developer, QA or test",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,45-54 years old,"Independent contractor, freelancer, or self-employed","No, and I don't plan to"
1112,United States of America,,USD	United States dollar,10,Bash/Shell (all shells);HTML/CSS;PHP;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;PHP;SQL;TypeScript,"Developer, full-stack",10,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1113,Ukraine,,USD	United States dollar,25,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",10,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",45-54 years old,"Employed, full-time","No, but I plan to soon"
1114,United States of America,160000,USD	United States dollar,6,C#;C++;SQL,C#;SQL,"Developer, desktop or enterprise applications",8,Remote,Some college/university study without earning a degree,"1,000 to 4,999 employees",35-44 years old,"Employed, full-time",Yes
1115,Switzerland,62790,CHF	Swiss franc,4,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;Rust;SQL;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)",Something else,100 to 499 employees,18-24 years old,"Employed, full-time",Yes
1116,Israel,40000,ILS	Israeli new shekel,2,HTML/CSS;Python;TypeScript,HTML/CSS;Python;TypeScript,"Developer, full-stack",,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,18-24 years old,"Employed, full-time",Yes
1117,Ecuador,5400,USD	United States dollar,Less than 1 year,C#;C++;Go;Rust;SQL,C++;Rust,"Developer, desktop or enterprise applications",2,In-person,Some college/university study without earning a degree,20 to 99 employees,18-24 years old,"Employed, full-time",Yes
1118,United States of America,,,11,Bash/Shell (all shells);C#;HTML/CSS;JavaScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack",,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
1119,Nigeria,,,,C#;HTML/CSS;JavaScript;PHP;Python;TypeScript,C#;HTML/CSS;JavaScript;PHP;Python;TypeScript,Educator,5,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
1120,China,,,Less than 1 year,Assembly;Bash/Shell (all shells);C;C++;Clojure;Go;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;PowerShell;Python;Rust;TypeScript,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;MATLAB;Python;Rust;TypeScript,Student,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Student, full-time",Yes
1121,Latvia,20000,EUR European Euro,2,C++;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,C++;HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,"Developer, mobile",8,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,18-24 years old,"Employed, full-time;Student, full-time",Yes
1122,Poland,330000,PLN	Polish zloty,8,Bash/Shell (all shells);C;Java;Perl;Python;SQL,Bash/Shell (all shells);C;Python,DevOps specialist,10,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1123,Argentina,24000,USD	United States dollar,19,Bash/Shell (all shells);C;C#;C++;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;Python;Rust;SQL;Swift;Visual Basic (.Net),Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript,"Developer, full-stack",8,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20 to 99 employees,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
1124,Brazil,52800,USD	United States dollar,12,HTML/CSS;JavaScript;Ruby;SQL,HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",10,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time",Yes
1125,United Kingdom of Great Britain and Northern Ireland,40000,GBP	Pound sterling,18,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),"Developer, full-stack",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",35-44 years old,"Employed, full-time",Yes
1126,India,600000,INR	Indian rupee,4,HTML/CSS;JavaScript;PHP;SQL;TypeScript,JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",25-34 years old,"Employed, full-time","No, but I plan to soon"
1127,United States of America,,USD	United States dollar,4,C#;HTML/CSS;JavaScript;PHP,Bash/Shell (all shells);C#;HTML/CSS;PHP;Rust;TypeScript,"Developer, front-end",,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,25-34 years old,"Employed, full-time","No, and I don't plan to"
1128,Peru,,PEN	Peruvian sol,1,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",7,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,18-24 years old,"Employed, full-time",Yes
