ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
1478,Germany,Germany,100000,EUR European Euro,9100000,25,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;SQL,7,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;SQL,"Senior Executive (C-Suite, VP, etc.)",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
1479,Germany,Germany,65000,EUR European Euro,5915000,3,C#;C++,2,C#,"Developer, game or graphics",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
1480,Nomadic,,60000,EUR European Euro,5460000,2,C;C++;MATLAB;PowerShell;Python,5,C;C++;Go;Python;Rust;Zig,"Developer, embedded applications or devices",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,Prefer not to say,#N/A,"Employed, full-time",Yes,1
1481,Spain,Spain,150000,EUR European Euro,13650000,24,Bash/Shell (all shells);Elixir;Erlang;Python;SQL,5,Bash/Shell (all shells);Erlang;SQL,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",No,0
1482,Greece,Greece,90000,EUR European Euro,8190000,15,Bash/Shell (all shells);Elixir;Ruby;SQL,4,Elixir;SQL,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1483,Australia,Australia,137000,AUD	Australian dollar,7535000,6,C#;Delphi,2,C#;Delphi,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1484,New Zealand,New Zealand,95000,NZD	New Zealand dollar,5209800,4,C;C#;HTML/CSS;TypeScript,4,C;C#;HTML/CSS;TypeScript,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
1485,United States of America,USA,145000,USD	United States dollar,12180000,3,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,8,Ada;Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;Haskell;HTML/CSS;JavaScript;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
1486,China,China,300000,CNY	Chinese Yuan Renminbi,3936000,6,Java;JavaScript;SQL,3,Java,"Developer, back-end",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
1487,United States of America,USA,225000,USD	United States dollar,18900000,25,Bash/Shell (all shells);Python;SQL,3,Go;Python;Rust;SQL;TypeScript,Data scientist or machine learning specialist,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,45-54 years old,45,"Employed, full-time",Yes,1
1488,Ukraine,Ukraine,300000,UAH	Ukrainian hryvnia,630000,2,C;C++;Go;Rust,4,Bash/Shell (all shells);C;C++;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,18-24 years old,18,"Employed, full-time;Student, part-time",Yes,1
1489,United States of America,USA,194000,USD	United States dollar,16296000,7,Rust,1,Rust,"Developer, front-end",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",No,0
1490,Australia,Australia,105000,AUD	Australian dollar,5775000,20,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),7,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
1491,Israel,Israel,180000,USD	United States dollar,15120000,12,C#;Groovy;JavaScript;Kotlin;PowerShell;TypeScript,6,Go;Groovy;Kotlin;Python;Scala;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,25-34 years old,25,"Employed, full-time",Yes,1
1492,Switzerland,Switzerland,75000,CHF	Swiss franc,7125000,3,C#;C++;Java;SQL,4,C#;C++;Java;JavaScript;Kotlin,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,18-24 years old,18,"Student, part-time;Employed, part-time",Yes,1
1493,Germany,Germany,80000,EUR European Euro,7280000,9,Bash/Shell (all shells);HTML/CSS;SQL;TypeScript,4,Bash/Shell (all shells);Dart;Elixir;Go;HTML/CSS;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
1494,South Africa,South Africa,336000,ZAR	South African rand,1898400,3,HTML/CSS;JavaScript;SQL;TypeScript,4,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I don’t know,300,25-34 years old,25,"Employed, full-time",Yes,1
1495,Andorra,Andorra,180000,EUR European Euro,16380000,11,Python,1,Go;Python;Rust,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
1496,Austria,Austria,77000,EUR European Euro,7007000,35,Elixir,1,Elixir;Zig,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,2 to 9 employees,5,55-64 years old,55,"Employed, full-time",No,0
1497,Germany,Germany,110000,EUR European Euro,10010000,15,C;C++;Python;Zephyr,4,C++;Python;Zephyr,"Developer, embedded applications or devices",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
1498,Australia,Australia,160000,AUD	Australian dollar,8800000,24,Bash/Shell (all shells);C;C++;Go;Java;PHP;Python;R;SQL,9,Bash/Shell (all shells);C;C++;Go;Java;PHP;Python;R;Rust;SQL,"Senior Executive (C-Suite, VP, etc.)",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,45-54 years old,45,"Employed, full-time",No,0
1499,Germany,Germany,220000,EUR European Euro,20020000,40,C;C++;MATLAB;Python;SQL,5,C;C++;MATLAB;Python;R;SQL,"Developer, desktop or enterprise applications",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,55-64 years old,55,"Independent contractor, freelancer, or self-employed",Yes,1
1500,Germany,Germany,103000,EUR European Euro,9373000,15,Python,1,Python;Rust,DevOps specialist,,"Hybrid (some remote, some in-person)",1,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
1501,Italy,Italy,60000,EUR European Euro,5460000,20,Assembly;C;C#;C++;Delphi;Fortran;HTML/CSS;Java;JavaScript;Lua;MATLAB;MicroPython;Python;SQL;VBA;Visual Basic (.Net),16,C#;C++;HTML/CSS;Python,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,100 to 499 employees,300,45-54 years old,45,"Employed, full-time",Yes,1
1502,Switzerland,Switzerland,130000,CHF	Swiss franc,12350000,20,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,10,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,35-44 years old,35,"Employed, full-time",Yes,1
1503,United Kingdom of Great Britain and Northern Ireland,United Kingdom,76875,GBP	Pound sterling,8148750,7,Assembly;C;C#;C++;HTML/CSS;JavaScript;MATLAB;PHP;PowerShell;SQL;TypeScript,11,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
1504,Switzerland,Switzerland,100000,CHF	Swiss franc,9500000,27,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,8,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;SQL;VBA,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
1505,Italy,Italy,60000,EUR European Euro,5460000,10,JavaScript,1,JavaScript,Cloud infrastructure engineer,,"Hybrid (some remote, some in-person)",1,Some college/university study without earning a degree,20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
1506,Germany,Germany,60000,EUR European Euro,5460000,8,C;Python,2,C;C++;Python,"Developer, back-end",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, part-time",No,0
1507,Australia,Australia,84000,AUD	Australian dollar,4620000,4,C#;GDScript;HTML/CSS;JavaScript;Objective-C;PowerShell;Python;SQL;TypeScript,9,C#;GDScript;HTML/CSS;JavaScript;SQL,"Developer, full-stack",,In-person,0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2 to 9 employees,5,45-54 years old,45,"Employed, full-time",Yes,1
1508,France,France,120000,CHF	Swiss franc,11400000,21,JavaScript;Lua;PHP;Python;TypeScript,5,C#;JavaScript;Python;TypeScript,Engineering manager,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
1509,United States of America,USA,94000,USD	United States dollar,7896000,6,HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript;Zig,7,C;C++;Go;HTML/CSS;JavaScript;Lua;PHP;Rust;SQL;TypeScript;Zig,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
1510,Switzerland,Switzerland,100000,CHF	Swiss franc,9500000,18,HTML/CSS;JavaScript;PHP;SQL,4,HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
1511,Austria,Austria,122000,EUR European Euro,11102000,15,Bash/Shell (all shells);Go;Java;SQL,4,Bash/Shell (all shells);Go;Java;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,45-54 years old,45,"Employed, full-time",Yes,1
1512,Germany,Germany,115000,EUR European Euro,10465000,19,Bash/Shell (all shells);HTML/CSS;Ruby,3,Bash/Shell (all shells);Go;HTML/CSS;Ruby,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,35-44 years old,35,"Employed, full-time",Yes,1
1513,United Kingdom of Great Britain and Northern Ireland,United Kingdom,65000,GBP	Pound sterling,6890000,4,C++;Haskell;MATLAB,3,Bash/Shell (all shells);C++;Clojure;Haskell;Lisp,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",No,0
1514,Germany,Germany,60000,EUR European Euro,5460000,11,Bash/Shell (all shells);C;C++;SQL;Zephyr,5,C#;C++;SQL,"Developer, embedded applications or devices",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
1515,Spain,Spain,60000,EUR European Euro,5460000,10,C++;Python,2,C++,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
1516,Netherlands,Netherlands,95000,EUR European Euro,8645000,8,C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript,6,Kotlin;Swift,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
1517,Netherlands,Netherlands,60000,EUR European Euro,5460000,9,Java;JavaScript;Kotlin;Ruby;SQL,5,Java;Kotlin;Ruby;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",Yes,1
1518,Austria,Austria,75600,EUR European Euro,6879600,13,Go;Java;Kotlin;Python;SQL,5,Go;Java;Kotlin;Python;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",No,0
1519,Germany,Germany,64000,EUR European Euro,5824000,9,C#;Go;Java,3,C#;Go;Java,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, part-time",Yes,1
1520,Germany,Germany,85000,EUR European Euro,7735000,12,Bash/Shell (all shells);Java;PowerShell;SQL,4,Bash/Shell (all shells);Java;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
1521,Switzerland,Switzerland,112000,CHF	Swiss franc,10640000,8,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,11,Go;Kotlin;Nim;Python;Rust;SQL;TypeScript;Zig,Engineering manager,,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1522,Lithuania,Lithuania,66000,EUR European Euro,6006000,13,Groovy;Java,2,Groovy;Java;Python,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",Yes,1
1523,Sweden,Sweden,360000,SEK	Swedish krona,2916000,5,Python,1,C++;Python,Academic researcher,,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time;Student, full-time",Yes,1
1524,Slovenia,Slovenia,66000,EUR European Euro,6006000,15,HTML/CSS;Java;JavaScript;PHP;Python;Scala,6,Go;HTML/CSS;Java;JavaScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,15,35-44 years old,35,"Independent contractor, freelancer, or self-employed",Yes,1
1525,Poland,Poland,150000,PLN	Polish zloty,3150000,7,Go;Java;PHP;Rust,4,Go;Kotlin;Rust;Swift;Zig,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
1526,Poland,Poland,139200,PLN	Polish zloty,2923200,3,HTML/CSS;Java;JavaScript;PHP;SQL,5,Clojure;Go;HTML/CSS;Java;Python;Ruby;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,18-24 years old,18,"Employed, full-time",Yes,1
1527,Switzerland,Switzerland,110000,CHF	Swiss franc,10450000,6,HTML/CSS;JavaScript;Python;SQL,4,HTML/CSS;JavaScript;Python;SQL,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
1528,Denmark,Denmark,360000,DKK	Danish krone,4392000,10,GDScript;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,7,GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Rust;SQL;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
1529,Ukraine,Ukraine,107000,UAH	Ukrainian hryvnia,224700,4,Java;SQL,2,Go;Java;Python;SQL,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
1530,South Africa,South Africa,221000,ZAR	South African rand,1248650,1,C#;HTML/CSS;JavaScript;PHP;SQL,5,C#;Go,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
1531,Poland,Poland,208800,PLN	Polish zloty,4384800,18,Bash/Shell (all shells);Java;SQL,3,Bash/Shell (all shells);Java;SQL,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,45-54 years old,45,"Employed, full-time",No,0
1532,Germany,Germany,85000,EUR European Euro,7735000,6,C;C++;HTML/CSS;Java;JavaScript;Python;TypeScript,7,C;C++;GDScript;HTML/CSS;Java;JavaScript;Python;Rust;Swift;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",No,0
1533,Bosnia and Herzegovina,Bosnia and Herzegovina,144000,BAM	Bosnia and Herzegovina convertible mark,144000,9,C;JavaScript;Python;TypeScript,4,C;Python;Rust;TypeScript;Zig,"Developer, AI",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",Yes,1
1534,Germany,Germany,65000,EUR European Euro,5915000,7,C#;SQL;TypeScript,3,C#;SQL;TypeScript,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10 to 19 employees,15,25-34 years old,25,"Employed, full-time",No,0
1535,United Kingdom of Great Britain and Northern Ireland,United Kingdom,168000,GBP	Pound sterling,17808000,20,Bash/Shell (all shells);Python;R,3,Bash/Shell (all shells);Python;R,DevOps specialist,,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,5,35-44 years old,35,"Independent contractor, freelancer, or self-employed",No,0
1536,Lithuania,Lithuania,65200,EUR European Euro,5933200,10,C;Dart;Kotlin,3,Dart;Kotlin;Swift,"Developer, mobile",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",Yes,1
1537,United Kingdom of Great Britain and Northern Ireland,United Kingdom,100000,GBP	Pound sterling,10600000,8,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,7,TypeScript,"Developer, front-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
1538,Poland,Poland,260000,PLN	Polish zloty,5460000,5,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,7,C#;F#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,25-34 years old,25,"Employed, full-time",Yes,1
1539,Germany,Germany,61600,EUR European Euro,5605600,9,HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,6,HTML/CSS;Java;JavaScript;MicroPython;Python;Rust;SQL;TypeScript,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, part-time",No,0
1540,United Kingdom of Great Britain and Northern Ireland,United Kingdom,200000,GBP	Pound sterling,21200000,30,C#;C++;Go,3,C#;C++;Go;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,45-54 years old,45,"Independent contractor, freelancer, or self-employed",No,0
1541,United Kingdom of Great Britain and Northern Ireland,United Kingdom,70000,GBP	Pound sterling,7420000,29,Java;SQL,2,Java;SQL,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",No,0
1542,Russian Federation,Russia,60000,RUB	Russian ruble,54000,1,Bash/Shell (all shells);Groovy;JavaScript;Python;Rust;SQL;Swift;TypeScript,8,Rust;Swift;TypeScript,"Developer, front-end",,In-person,0,Some college/university study without earning a degree,10 to 19 employees,15,18-24 years old,18,"Employed, full-time",Yes,1
1543,Switzerland,Switzerland,86000,CHF	Swiss franc,8170000,5,Bash/Shell (all shells);C;C++;Python,4,Bash/Shell (all shells);C;C++;Lisp,"Developer, embedded applications or devices",,In-person,0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Employed, full-time",Yes,1
1544,Russian Federation,Russia,70000,EUR European Euro,6370000,10,C++,1,C++,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Employed, full-time",No,0
1545,Germany,Germany,72000,EUR European Euro,6552000,12,C;C++;Java;Rust,4,C;C++;Rust,"Developer, back-end",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,35-44 years old,35,"Employed, full-time",No,0
1546,Australia,Australia,220000,AUD	Australian dollar,12100000,17,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,8,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Engineering manager,,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
1547,Germany,Germany,85000,EUR European Euro,7735000,8,JavaScript;TypeScript,2,JavaScript;TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)",1,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,25-34 years old,25,"Employed, full-time",Yes,1
1548,Poland,Poland,108000,PLN	Polish zloty,2268000,3,JavaScript;TypeScript,2,C#;Go;Rust;TypeScript;Zig,"Developer, back-end",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,18-24 years old,18,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Yes,1
1549,Spain,Spain,180000,USD	United States dollar,15120000,10,Bash/Shell (all shells);Java;JavaScript;Rust;Scala,5,Bash/Shell (all shells);Rust;Scala,"Developer, back-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",7500,25-34 years old,25,"Independent contractor, freelancer, or self-employed",No,0
1550,Kenya,Kenya,396000,KES	Kenyan shilling,396000,3,C;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,7,HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Developer, front-end",,In-person,0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,15,18-24 years old,18,"Employed, part-time",Yes,1
1551,Switzerland,Switzerland,128000,CHF	Swiss franc,12160000,20,C#;Delphi;JavaScript;SQL;TypeScript,5,Bash/Shell (all shells);C#;F#;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)",1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",No,0
1552,India,India,320000,INR	Indian rupee,320000,3,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),10,HTML/CSS;JavaScript;Kotlin;Python;R;Rust,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,18-24 years old,18,"Employed, full-time",Yes,1
1553,United States of America,USA,175000,USD	United States dollar,14700000,34,C;C++;Groovy;Java,4,C#;C++;TypeScript,"Developer, full-stack",,In-person,0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,750,55-64 years old,55,"Employed, full-time",No,0
1554,Romania,Romania,72000,RON	Romanian leu,1517040,5,HTML/CSS;JavaScript;PHP;PowerShell;Ruby;Rust;SQL;TypeScript,8,Clojure;Elixir;Go;HTML/CSS;Ruby;Rust;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,5,25-34 years old,25,"Employed, full-time",Yes,1
1555,Poland,Poland,400000,PLN	Polish zloty,8400000,7,Bash/Shell (all shells);HTML/CSS;Python;SQL;TypeScript,5,Bash/Shell (all shells);HTML/CSS;Python;SQL;TypeScript,Engineering manager,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,25-34 years old,25,"Independent contractor, freelancer, or self-employed",No,0
1556,United Kingdom of Great Britain and Northern Ireland,United Kingdom,90000,GBP	Pound sterling,9540000,14,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,5,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,"Developer, full-stack",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10000,35-44 years old,35,"Employed, full-time",No,0
1557,South Africa,South Africa,120000,ZAR	South African rand,678000,7,C#;HTML/CSS;Java;JavaScript;Lua;Rust;SQL;TypeScript,8,C#;HTML/CSS;Lua;Rust;TypeScript,"Developer, full-stack",,Remote,2,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,300,25-34 years old,25,"Employed, full-time",No,0
